1,ハーディーハイライト,https://www.youtube.com/watch?v=mZMbFniBIqQ,1,2022-10-08T06:20:40.000000Z,2022-10-08T06:20:40.000000Z
2,"ルカ ハイライト",https://www.youtube.com/watch?v=uJRMQkgfblU,2,2022-10-08T06:35:24.000000Z,2022-10-08T06:35:24.000000Z
3,"ウッド ハイライト",https://www.youtube.com/watch?v=qGNl7pJbic8,2,2022-10-08T06:35:24.000000Z,2022-10-08T06:35:24.000000Z
4,マブスハイライト,https://www.youtube.com/watch?v=tUKfa3mk-yE,3,2022-10-14T23:13:43.000000Z,2022-10-14T23:13:43.000000Z
5,ウッドハイライト,https://www.youtube.com/watch?v=pIjNANK_2lg,4,2022-10-21T07:02:18.000000Z,2022-10-21T07:02:18.000000Z
6,マブスハイライト,https://www.youtube.com/watch?v=KLu8VhKPjAI,5,2022-10-23T05:23:32.000000Z,2022-10-23T05:23:32.000000Z
7,"ルカ ハイライト",https://www.youtube.com/watch?v=eiPOPpQ-Edg,5,2022-10-23T05:23:32.000000Z,2022-10-23T05:23:32.000000Z
8,"ウッド ハイライト",https://www.youtube.com/watch?v=OnXRR19FGmU,5,2022-10-23T05:23:32.000000Z,2022-10-23T05:23:32.000000Z
9,"box score",https://www.nba.com/game/dal-vs-bkn-0022200066/box-score,8,2022-10-29T04:35:19.000000Z,2022-10-29T04:35:19.000000Z
10,全体ハイライト,https://www.youtube.com/watch?v=hWl8D_S8b8w,8,2022-10-29T04:35:19.000000Z,2022-10-29T04:35:19.000000Z
11,ルカハイライト,https://www.youtube.com/watch?v=32SIuzQg29g,8,2022-10-29T04:35:19.000000Z,2022-10-29T04:35:19.000000Z
12,"ルカ ハイライト",https://www.youtube.com/watch?v=gD_O62mJdYk,10,2022-10-31T18:19:18.000000Z,2022-10-31T18:19:18.000000Z
13,フルハイライト,https://www.youtube.com/watch?v=ve0kvR4ebNo,10,2022-10-31T18:19:18.000000Z,2022-10-31T18:19:18.000000Z
14,ディンインタビュー和訳,https://twitter.com/dekacop/status/1588109958943735808,11,2022-11-03T16:17:11.000000Z,2022-11-03T16:17:11.000000Z
15,スタッツ,https://nba.rakuten.co.jp/games/22200115,11,2022-11-03T16:17:11.000000Z,2022-11-03T16:17:11.000000Z
16,ルカハイライト,https://www.youtube.com/watch?v=hhdPUo43N3I,11,2022-11-03T16:17:11.000000Z,2022-11-03T16:17:11.000000Z
17,ウッドハイライト,https://www.youtube.com/watch?v=7uyec7xy99Y,11,2022-11-03T16:17:11.000000Z,2022-11-03T16:17:11.000000Z
18,ディンハイライト,https://www.youtube.com/watch?v=DYyqiygLB30,11,2022-11-03T16:17:11.000000Z,2022-11-03T16:17:11.000000Z
19,フルゲームハイライト,https://www.youtube.com/watch?v=GZI-V72K_SI,12,2022-11-05T17:20:16.000000Z,2022-11-05T17:20:16.000000Z
20,ルカハイライト,https://www.youtube.com/watch?v=2kDoGDxjKX4,12,2022-11-05T17:20:16.000000Z,2022-11-05T17:20:16.000000Z
21,"グリーン ハイライトダンク",https://www.youtube.com/watch?v=wsUdW-Ss_ZA,12,2022-11-05T17:20:16.000000Z,2022-11-05T17:20:16.000000Z
22,グリーン君ハイライト,https://www.youtube.com/watch?v=-iKNsH3Tykg,13,2022-11-08T16:27:20.000000Z,2022-11-08T16:27:20.000000Z
23,ルカハイライト,https://www.youtube.com/watch?v=OaLemEjX_DI,13,2022-11-08T16:27:20.000000Z,2022-11-08T16:27:20.000000Z
24,スタッツ,https://nba.rakuten.co.jp/games/22200155,13,2022-11-08T16:27:20.000000Z,2022-11-08T16:27:20.000000Z
28,マブスハイライト,https://www.youtube.com/watch?v=8uvhdYAHndI,16,2022-11-13T08:02:12.000000Z,2022-11-13T08:02:12.000000Z
29,ルカハイライト,https://www.youtube.com/watch?v=z4BJnpNyT8o,16,2022-11-13T08:02:12.000000Z,2022-11-13T08:02:12.000000Z
30,クラッチタイムハイライト,https://www.youtube.com/watch?v=o9ONL1jujLE,16,2022-11-13T08:02:12.000000Z,2022-11-13T08:02:12.000000Z
31,ルカハイライト,https://www.youtube.com/watch?v=321_Up9LBoY,17,2022-11-16T16:52:19.000000Z,2022-11-16T16:52:19.000000Z
32,マブスハイライト,https://www.youtube.com/watch?v=LK4rGPWp96Q,17,2022-11-16T16:52:19.000000Z,2022-11-16T16:52:19.000000Z
33,ルカハイライト,https://www.youtube.com/watch?v=5fZ0p4QwnrA,19,2022-11-19T12:22:33.000000Z,2022-11-19T12:22:33.000000Z
34,マブスハイライト,https://www.youtube.com/watch?v=HLY20gxoqX0,19,2022-11-19T12:22:33.000000Z,2022-11-19T12:22:33.000000Z
35,ウッドハイライト,https://www.youtube.com/watch?v=MgIniSMvuXs,19,2022-11-19T12:22:33.000000Z,2022-11-19T12:22:33.000000Z
38,マブスハイライト,https://www.youtube.com/watch?v=LSEr3GS-pjs,21,2022-11-24T09:44:33.000000Z,2022-11-24T09:44:33.000000Z
39,クラッチタイム,https://www.youtube.com/watch?v=z_LVH6ydzQ4,24,2022-11-30T05:03:26.000000Z,2022-11-30T05:03:26.000000Z
40,ルカハイライト,https://www.youtube.com/watch?v=aF9mmYUxW24,24,2022-11-30T05:03:26.000000Z,2022-11-30T05:03:26.000000Z
41,THJハイライト,https://www.youtube.com/watch?v=5I2PGh8L7JI,24,2022-11-30T05:03:26.000000Z,2022-11-30T05:03:26.000000Z
42,グリーンハイライト,https://www.youtube.com/watch?v=4ONKuKqTlZQ,24,2022-11-30T05:03:26.000000Z,2022-11-30T05:03:26.000000Z
43,ハーディ初得点,https://twitter.com/sixfivelando/status/1599127068221919235,26,2022-12-03T20:39:57.000000Z,2022-12-03T20:39:57.000000Z
44,THJハイライト,https://www.youtube.com/watch?v=HJgrODTuqEo,26,2022-12-03T20:39:57.000000Z,2022-12-03T20:39:57.000000Z
45,ルカハイライト,https://www.youtube.com/watch?v=-0cKvjCprLo,26,2022-12-03T20:39:57.000000Z,2022-12-03T20:39:57.000000Z
46,17-0ラン,https://www.youtube.com/watch?v=SmXiTIBRtAw,26,2022-12-03T20:39:57.000000Z,2022-12-03T20:39:57.000000Z
47,スタッツ,https://nba.rakuten.co.jp/games/22200358,27,2022-12-07T03:14:13.000000Z,2022-12-07T03:14:13.000000Z
48,フルゲームハイライト,https://www.youtube.com/watch?v=biLTfiEagh8,27,2022-12-07T03:14:13.000000Z,2022-12-07T03:14:13.000000Z
49,グリーンハイライト,https://www.youtube.com/watch?v=gXEIyV-QShg,27,2022-12-07T03:14:13.000000Z,2022-12-07T03:14:13.000000Z
50,ハーディハイライト,https://www.youtube.com/watch?v=uElNmrCP2kI,27,2022-12-07T03:14:13.000000Z,2022-12-07T03:14:13.000000Z
51,THJハイライト,https://www.youtube.com/watch?v=X3HElSIvqRk,28,2022-12-07T08:09:29.000000Z,2022-12-07T08:09:29.000000Z
52,TOP10ハイライト,https://www.youtube.com/watch?v=xoyLgRpFggM,28,2022-12-07T08:09:29.000000Z,2022-12-07T08:09:29.000000Z
53,フルゲームハイライト,https://www.youtube.com/watch?v=z70EcIxxfxU,28,2022-12-07T08:09:29.000000Z,2022-12-07T08:09:29.000000Z
54,ハイライトダンク,https://twitter.com/negitoru/status/1601531063100092416,29,2022-12-10T14:39:20.000000Z,2022-12-10T14:39:20.000000Z
55,TOP10,https://www.youtube.com/watch?v=6sJE0V3zkMU,29,2022-12-10T14:39:20.000000Z,2022-12-10T14:39:20.000000Z
56,ハーディハイライト,https://www.youtube.com/watch?v=V_A-U_9_rWE,30,2022-12-11T04:27:08.000000Z,2022-12-11T04:27:08.000000Z
57,ルカハイライト,https://www.youtube.com/watch?v=4GEnGDa9PH0,31,2022-12-13T04:26:50.000000Z,2022-12-13T04:26:50.000000Z
58,スタッツ,https://nba.rakuten.co.jp/games/22200246,20,2022-12-13T15:41:53.000000Z,2022-12-13T15:41:53.000000Z
59,ルカハイライトパス,https://www.youtube.com/watch?v=BJ9fPLOEo9s,32,2022-12-15T06:53:43.000000Z,2022-12-15T06:53:43.000000Z
60,マブスハイライト,https://www.youtube.com/watch?v=UQYfDhn9kSI,33,2022-12-17T11:23:28.000000Z,2022-12-17T11:23:28.000000Z
61,ルカダンク,https://www.youtube.com/watch?v=PjmyvwsviKg,33,2022-12-17T11:23:28.000000Z,2022-12-17T11:23:28.000000Z
62,ルカハイライト,https://www.youtube.com/watch?v=bjir_wlJ094,33,2022-12-17T11:23:28.000000Z,2022-12-17T11:23:28.000000Z
63,ウッドハイライト,https://www.youtube.com/watch?v=qdTaZ_mnbEU,33,2022-12-17T11:23:28.000000Z,2022-12-17T11:23:28.000000Z
64,ケンバハイライト,https://www.youtube.com/watch?v=tesnQIjCKzY,34,2022-12-20T01:44:25.000000Z,2022-12-20T01:44:25.000000Z
65,ベルタンハイライト,https://www.youtube.com/watch?v=9tDd-hZYDpA,35,2022-12-21T08:33:46.000000Z,2022-12-21T08:33:46.000000Z
66,マブスハイライト,https://www.youtube.com/watch?v=PUXC0RmVi9s,36,2022-12-22T06:18:04.000000Z,2022-12-22T06:18:04.000000Z
67,THJハイライト,https://www.youtube.com/watch?v=OKJjz0BhXdU,36,2022-12-22T06:18:04.000000Z,2022-12-22T06:18:04.000000Z
68,スタッツ,https://nba.rakuten.co.jp/games/22200487,37,2022-12-24T08:33:02.000000Z,2022-12-24T08:33:02.000000Z
69,マブスハイライト,https://www.youtube.com/watch?v=bwWJhyAYuV0,37,2022-12-24T08:33:02.000000Z,2022-12-24T08:33:02.000000Z
70,ルカハイライト,https://www.youtube.com/watch?v=uqKU-cczj0k,37,2022-12-24T08:33:02.000000Z,2022-12-24T08:33:02.000000Z
71,マブスハイライト,https://www.youtube.com/watch?v=VwVgNZtQmLI,38,2022-12-26T06:52:56.000000Z,2022-12-26T06:52:56.000000Z
72,ウッドハイライト,https://www.youtube.com/watch?v=Z02k43mxwKA,38,2022-12-26T06:52:56.000000Z,2022-12-26T06:52:56.000000Z
73,ルカハイライト,https://www.youtube.com/watch?v=rrRM9PKBbX4,38,2022-12-26T06:52:56.000000Z,2022-12-26T06:52:56.000000Z
85,フルゲームハイライト,https://www.youtube.com/watch?v=nBOEwmDxjfU,39,2022-12-30T06:49:39.000000Z,2022-12-30T06:49:39.000000Z
86,クラッチタイム,https://www.youtube.com/watch?v=q2oO3H-KRvc&t=14s,39,2022-12-30T06:49:39.000000Z,2022-12-30T06:49:39.000000Z
87,ルカハイライト,https://www.youtube.com/watch?v=EmHJI0NRqmk&t=2s,39,2022-12-30T06:49:39.000000Z,2022-12-30T06:49:39.000000Z
88,ルカ逆転シュート,https://www.youtube.com/watch?v=xO3hkRnU6ms,39,2022-12-30T06:49:39.000000Z,2022-12-30T06:49:39.000000Z
89,スタッツ,https://nba.rakuten.co.jp/games/22200512,39,2022-12-30T06:49:39.000000Z,2022-12-30T06:49:39.000000Z
90,ニックスファン,https://twitter.com/LukaUpdates/status/1608176237452693504,39,2022-12-30T06:49:39.000000Z,2022-12-30T06:49:39.000000Z
91,マブスハイライト,https://www.youtube.com/watch?v=Qp8zE6NMW78,40,2022-12-30T07:12:56.000000Z,2022-12-30T07:12:56.000000Z
92,ルカハイライト,https://www.youtube.com/watch?v=6HhXi6bhBRs,40,2022-12-30T07:12:56.000000Z,2022-12-30T07:12:56.000000Z
93,ウッドハイライト,https://www.youtube.com/watch?v=fzKzM8IU0R4,40,2022-12-30T07:12:56.000000Z,2022-12-30T07:12:56.000000Z
94,スタッツ,https://nba.rakuten.co.jp/games,40,2022-12-30T07:12:56.000000Z,2022-12-30T07:12:56.000000Z
99,マブスハイライト,https://www.youtube.com/watch?v=dzokdSQnjJs,41,2023-01-01T06:43:21.000000Z,2023-01-01T06:43:21.000000Z
100,ルカハイライト,https://www.youtube.com/watch?v=VFhDaDvuxKY,41,2023-01-01T06:43:21.000000Z,2023-01-01T06:43:21.000000Z
101,ウッドハイライト,https://www.youtube.com/watch?v=ENas__J8Hmc,41,2023-01-01T06:43:21.000000Z,2023-01-01T06:43:21.000000Z
102,ルカブチギレ,https://twitter.com/DannyFloat/status/1609374395243323392,41,2023-01-01T06:43:21.000000Z,2023-01-01T06:43:21.000000Z
103,スタッツ,https://nba.rakuten.co.jp/games/22200542,41,2023-01-01T06:43:21.000000Z,2023-01-01T06:43:21.000000Z
104,ハーディハイライト,https://twitter.com/GrantAfseth/status/1611225933360373760,43,2023-01-06T16:03:24.000000Z,2023-01-06T16:03:24.000000Z
105,ハーディハイライト,https://www.youtube.com/watch?v=AbP9XjaXLzU,44,2023-01-08T04:27:58.000000Z,2023-01-08T04:27:58.000000Z
106,ルカハイライト,https://www.youtube.com/watch?v=lZ5xSD7ogQ8&t=3s,44,2023-01-08T04:27:58.000000Z,2023-01-08T04:27:58.000000Z
107,ウッドハイライト,https://www.youtube.com/watch?v=e4-84dI1DvU,44,2023-01-08T04:27:58.000000Z,2023-01-08T04:27:58.000000Z
108,ルカハイライト,https://www.youtube.com/watch?v=ZCOdJUKs84k,47,2023-01-14T14:16:01.000000Z,2023-01-14T14:16:01.000000Z
109,ウッドハイライト,https://www.youtube.com/watch?v=4HMkR1owKsA,47,2023-01-14T14:16:01.000000Z,2023-01-14T14:16:01.000000Z
110,フルゲームハイライト,https://www.youtube.com/watch?v=h0q6BiAjCuc,47,2023-01-14T14:16:01.000000Z,2023-01-14T14:16:01.000000Z
111,ハーディハイライト,https://www.youtube.com/watch?v=a4G-6Cy3ovs,49,2023-01-16T13:51:03.000000Z,2023-01-16T13:51:03.000000Z
112,スタッツ,https://nba.rakuten.co.jp/games/22200654,49,2023-01-16T13:51:03.000000Z,2023-01-16T13:51:03.000000Z
